num_question;annee;contexte_question;texte_question;image;numero_option;texte_option;prochaine_question;prerequis;effet_immediat;modification_programme;modification_objet;objet;programme;commandes
4;2026;Les partenaires se sont mis d'accord pour développer une version sans ailes rétractables. La France sera seule pour développer cet aspect du programme.;Voulez-vous continuer sur cette voie ou passer à un programme franco-français ?;auge_de_falco2.jpg;A;Poursuivre le programme européen tout en développant une version française pour porte-avion;131;;europeanisation:+2;"duree:+2
 cout:+50000000";;;Auge-de-falco;
4;2026;Les partenaires se sont mis d'accord pour développer une version sans ailes rétractables. La France sera seule pour développer cet aspect du programme.;Voulez-vous continuer sur cette voie ou passer à un programme franco-français ?;auge_de_falco2.jpg;B;Renoncer à la coopération européenne;41;;europeanisation:-15;;;;;
41;2026;Puisque vous ne voulez plus faire un programme européen, peut-être voulez-vous revenir sur vorte premier choix?;Quel option souhaitez vous choisir ?;am_fr.png;A;Achat de Hawkeyes au standard E-2D ;412;;;;;hawkeye_E-2D;hawkeye_E-2D;launch_programme
41;2026;Puisque vous ne voulez plus faire un programme européen, peut-être voulez-vous revenir sur vorte premier choix?;Quel option souhaitez vous choisir ?;am_fr.png;B;Développement d’un programme franco-français;413;niveau_techno: 120;niveau_techno:+3;;;Oeil-de-faucon;Oeil-de-faucon;launch_programme
412;2026;Le Hawkeye  E-2D ne convient pas parfaitement à la marine frrançaise. Ses capacités d'interopérabilité OTAN sont  jugées trop faibles. Souhaitez-vous faire une demande d'amélioration (ajout de matériels de communication au standard OTAN) ?;;transpondeur.png;A;Oui;0;;;cout:+45;"bonus_terre:+1
bonus_rens:+1
bonus_air:+1
bonus_mer:+1";hawkeye_E-2D;hawkeye_E-2D;
412;2026;Le Hawkeye  E-2D ne convient pas parfaitement à la marine frrançaise. Ses capacités d'interopérabilité OTAN sont  jugées trop faibles. Souhaitez-vous faire une demande d'amélioration (ajout de matériels de communication au standard OTAN) ?;;transpondeur.png;B;Non;0;;;;;hawkeye_E-2D;hawkeye_E-2D;
413;2026;L'avionneur choisi pour le programme n'a jamais réalisé d'avion avec les ailes repliables.;Quel option souhaitez vous choisir ?;ailes.jpg;A;Achat aux américains de l'avion de base du E-2D et limitation du Franco-Français au matériel de surveillance;4131;niveau_techno: 15;niveau_techno: +15;;;;Oeil-de-faucon;
413;2026;L'avionneur choisi pour le programme n'a jamais réalisé d'avion avec les ailes repliables.;Quel option souhaitez vous choisir ?;ailes.jpg;B;Développement de cette technologie en France.;4131;niveau_techno: 120;niveau_techno: +15;duree:+4;;;Oeil-de-faucon;
4131;2032;"L'inde souhaite acheter trois avions de surveillance pour son nouveau porte-avion.
Les américains veulent vendre des Hawkeyes E-2D, mais l'Œil-de-faucon ressort favori des tests organisés sur l'aéroport d'Hayderabad.
Le prix de l'œil-de-faucon menace de mener à la perte du contrat. ";Souhaitez-vous réduire le prix à l'export ?;inde_export.jpg;A;À mort le capitalisme! L'important c'est de vendre, on savait dès le départ que ça serait un trou financier. Et puis on va pas se défiller face au Amérloques…;41311;;;;;;;
4131;2032;"L'inde souhaite acheter trois avions de surveillance pour son nouveau porte-avion.
Les américains veulent vendre des Hawkeyes E-2D, mais l'Œil-de-faucon ressort favori des tests organisés sur l'aéroport d'Hayderabad.
Le prix de l'œil-de-faucon menace de mener à la perte du contrat. ";Souhaitez-vous réduire le prix à l'export ?;inde_export.jpg;B;Et puis quoi encore ? De toute façon les industriels ne voudront jamais. Un œil-de-faucon ça ne se brade pas !;41312;;;;;;;
41311;2033;"Les indiens achètent finalement aux américains. C'est ce qu'ils avaient prévu depuis le début… avant même les tests. Mais que fait la DGSE ? Personne n'était au courant ? Pour quoi est-ce que l'on passe encore ? 
Non, ne répondez pas.";Amis, passez votre chemin…;Inde-Etats-Unis.jpg;A;Passer pour le dindon de la farce. La DGSE en prend un coup à l'humilité, et met le paquet pour se rattraper.;0;;rens:+10;Oeil-de-faucon;;;Oeil-de-faucon;
41312;2033;Le programme d'export est lancé. Bravo. Vous allez en mettre plein les poches de Patrice Caine !;Comment vous sentez-vous ?;patrice-caine.jpg;A;Très fier.ère.s ! La DGA vous remettra une médaille.;0;rens:20;budget:+30;;;;;
51;2028;Les cinq ans sont passés. Vous n'avez plus de choix, il faut vous mouiller.;Quel option souhaitez vous choisir ?;hawkeye.jpg;A;Achat de Hawkeyes au standard E-2D ;52;;;;;hawkeye_E-2D;hawkeye_E-2D;launch_programme
51;2028;Les cinq ans sont passés. Vous n'avez plus de choix, il faut vous mouiller.;Quel option souhaitez vous choisir ?;hawkeye.jpg;B;Développement d’un programme Français (Dassault-Thalès) ;53;niveau_techno: 120;niveau_techno:+3;;;Oeil-de-faucon;Oeil-de-faucon;launch_programme
51;2028;Les cinq ans sont passés. Vous n'avez plus de choix, il faut vous mouiller.;Quel option souhaitez vous choisir ?;hawkeye.jpg;C;Développement d’un programme avec des partenaires européens ;54;"niveau_techno: 110
europeanisation:20";"europeanisation:+10
niveau_techno:+2";;;Auge-de-falco;Auge-de-falco;launch_programme
52;2028;Le Hawkeye  E-2D ne convient pas parfaitement à la marine frrançaise. Ses capacités d'interopérabilité OTAN sont  jugées trop faibles. Souhaitez-vous faire une demande d'amélioration (ajout de matériels de communication au standard OTAN) ?;;transpondeur.png;A;Oui;0;;;cout:+45;"bonus_terre:+1
bonus_rens:+1
bonus_air:+1
bonus_mer:+1";hawkeye_E-2D;hawkeye_E-2D;
52;2028;Le Hawkeye  E-2D ne convient pas parfaitement à la marine frrançaise. Ses capacités d'interopérabilité OTAN sont  jugées trop faibles. Souhaitez-vous faire une demande d'amélioration (ajout de matériels de communication au standard OTAN) ?;;transpondeur.png;B;Non;0;;;;;hawkeye_E-2D;hawkeye_E-2D;
53;2028;L'avionneur choisi pour le programme n'a jamais réalisé d'avion avec les ailes repliables.;Quel option souhaitez vous choisir ?;ailes.jpg;A;Achat aux américains de l'avion de base du E-2D et limitation du franco-français au matériel de surveillance;131;niveau_techno: 15;niveau_techno: +15;;;;Oeil-de-faucon;
53;2028;L'avionneur choisi pour le programme n'a jamais réalisé d'avion avec les ailes repliables.;Quel option souhaitez vous choisir ?;ailes.jpg;B;Développement de cette technologie en France.;131;niveau_techno: 120;niveau_techno: +15;duree:+4;;;Oeil-de-faucon;
54;2026;Les partenaires se sont mis d'accord pour développer une version sans ailes rétractables. La France sera seule pour développer cet aspect du programme.;Voulez-vous continuer sur cette voie ou passer à un programme franco-français ?;auge_de_falco2.jpg;A;Poursuivre le programme européen tout en développant une version française pour porte-avion;131;;europeanisation:+2;"duree:+2
 cout:+50000000";;;Auge-de-falco;
54;2026;Les partenaires se sont mis d'accord pour développer une version sans ailes rétractables. La France sera seule pour développer cet aspect du programme.;Voulez-vous continuer sur cette voie ou passer à un programme franco-français ?;auge_de_falco2.jpg;B;Renoncer à la coopération européenne;541;;europeanisation:-15;;;;;
541;2030;Puisque vous ne voulez plus faire un programme européen, peut-être voulez-vous revenir sur vorte premier choix?;Quel option souhaitez vous choisir ?;am_fr.png;A;Achat de Hawkeyes au standard E-2D ;5412;;;;;hawkeye_E-2D;hawkeye_E-2D;launch_programme
541;2030;Puisque vous ne voulez plus faire un programme européen, peut-être voulez-vous revenir sur vorte premier choix?;Quel option souhaitez vous choisir ?;am_fr.png;B;Développement d’un programme franco-français;5413;niveau_techno: 120;niveau_techno:+3;;;Oeil-de-faucon;Oeil-de-faucon;launch_programme
5412;2030;Le Hawkeye  E-2D ne convient pas parfaitement à la marine frrançaise. Ses capacités d'interopérabilité OTAN sont  jugées trop faibles. Souhaitez-vous faire une demande d'amélioration (ajout de matériels de communication au standard OTAN) ?;;transpondeur.png;A;Oui;0;;;cout:+45;"bonus_terre:+1
bonus_rens:+1
bonus_air:+1
bonus_mer:+1";hawkeye_E-2D;hawkeye_E-2D;
5412;2030;Le Hawkeye  E-2D ne convient pas parfaitement à la marine frrançaise. Ses capacités d'interopérabilité OTAN sont  jugées trop faibles. Souhaitez-vous faire une demande d'amélioration (ajout de matériels de communication au standard OTAN) ?;;transpondeur.png;B;Non;0;;;;;hawkeye_E-2D;hawkeye_E-2D;
5413;2030;L'avionneur choisi pour le programme n'a jamais réalisé d'avion avec les ailes repliables.;Quel option souhaitez vous choisir ?;ailes.jpg;A;Achat aux américains de l'avion de base du E-2D et limitation du Franco-Français au matériel de surveillance;54131;niveau_techno: 15;niveau_techno: +15;;;;Oeil-de-faucon;
5413;2030;L'avionneur choisi pour le programme n'a jamais réalisé d'avion avec les ailes repliables.;Quel option souhaitez vous choisir ?;ailes.jpg;B;Développement de cette technologie en France.;54131;niveau_techno: 120;niveau_techno: +15;duree:+4;;;Oeil-de-faucon;
54131;2030;L'inde souhaite acheter trois avions de surveillance pour son nouveau porte-avion. Votre programme n'est pas assez avancé pour faire concurrence au Hawkeye… Pas d'export pour vous!;À cinq années près ça passait !;inde_export.jpg;A;Tant pis;0;;;;;;;
